,precision,recall,f1-score,support
benign,0.9928885878767355,0.9986376021798365,0.9957547970793004,2936.0
defacement,0.9572763684913218,0.9821917808219178,0.9695740365111561,730.0
malware,0.9295774647887324,0.6804123711340206,0.7857142857142858,97.0
phishing,0.9251101321585903,0.8860759493670886,0.9051724137931034,237.0
accuracy,0.98125,0.98125,0.98125,0.98125
macro avg,0.951213138328845,0.8868294258757158,0.9140538832744614,4000.0
weighted avg,0.9808381896027133,0.98125,0.9805163196653053,4000.0
