,precision,recall,f1-score,support
benign,0.9827819041188386,0.9914850136239782,0.9871142760257714,2936.0
defacement,0.8693467336683417,0.947945205479452,0.9069462647444299,730.0
malware,0.8888888888888888,0.32989690721649484,0.48120300751879697,97.0
phishing,0.8883495145631068,0.7721518987341772,0.8261851015801356,237.0
accuracy,0.9545,0.9545,0.9545,0.9545
macro avg,0.907341760309794,0.7603697562635257,0.8003621624672834,4000.0
weighted avg,0.9542079608111196,0.9545,0.9506802121197285,4000.0
