,precision,recall,f1-score,support
benign,0.9905437352245863,0.9989782016348774,0.9947430897066305,2936.0
defacement,0.932806324110672,0.9698630136986301,0.9509738079247817,730.0
malware,0.8888888888888888,0.5773195876288659,0.7,97.0
phishing,0.9262672811059908,0.8481012658227848,0.8854625550660793,237.0
accuracy,0.9745,0.9745,0.9745,0.9745
macro avg,0.9346265573325344,0.8485655171962896,0.8827948631743728,4000.0
weighted avg,0.9737331477661295,0.9745,0.9731328041786046,4000.0
